Ranking,First Name,Last Name,Sex,DOB,Race,Famous,Link,Title,Year,Duration,Transcript
7,Jerry,Seinfeld,Male,,White,1,https://www.youtube.com/watch?v=FdAnKQHhNHY,Best Jerry Seinfeld Stand Up Comedy 2018 Best Jerry Seinfeld Comedian Ever Full Show,,,
8,Bill,Cosby,Male,,Black,1,https://www.youtube.com/watch?v=1_chNSFp22M,Bil Cosby: 49 (1987),,,
8,Bill,Cosby,Male,,Black,1,https://www.youtube.com/watch?v=RRcVsQBsnEM,"Bill Cosby: Mr. Sapolsky, with Love (1996)",,,
8,Bill,Cosby,Male,,Black,1,https://www.youtube.com/watch?v=u4WxuIYKolc,"Bill Cosby - To Russell, my brother, whom i slept with Full 1968 Vinyl Album",,,
8,Bill,Cosby,Male,,Black,1,https://www.youtube.com/watch?v=MJor4HNhwGI,Bill Cosby - My Father Confused Me - FULL 1977 vinyl album,,,
9,Dave,Chapelle,Male,,Black,1,https://www.youtube.com/watch?v=FclScfPoKes,Killin' Them Softly - Dave Chappelle (2000) HD,,,
9,Dave,Chapelle,Male,,Black,1,https://www.youtube.com/watch?v=B-hynjEdTaY,Dave Chappelle For What Its Worth - High Quality,,,
9,Dave,Chapelle,Male,,Black,1,https://www.youtube.com/watch?v=FthIYcEwssM,Dave Chappelle - Deep in the Heart of Texas,,,
9,Dave,Chapelle,Male,,Black,1,https://www.youtube.com/watch?v=gC72XPJQ2jA,Dave Chappelle – WHAT ARE WE DOIN'? - Stand Up Comedy Special,,,
10,Mort,Sahl,Male,,White,1,https://www.youtube.com/watch?v=c90tyda06jE,Mort Sahl at the Hungry i,,,
10,Mort,Sahl,Male,,White,1,https://www.youtube.com/watch?v=JnHUStTmm3A,Mort Sahl Live #1 Atlantic City 11/16/91,,,
10,Mort,Sahl,Male,,White,1,https://www.youtube.com/watch?v=yJWt0ylZk_s,Mort Sahl On Relationships 1962 Stand-up Comedy Classic Album!,,,
10,Mort,Sahl,Male,,White,1,https://www.youtube.com/watch?v=A9rHAJ8zwyk,MORT SAHL STAND-UP IN ENGLAND 2005,,,
11,Steve,Martin,Male,,White,1,,,,,
12,Robin,Williams,,,,,,,,,
13,Bill,Hicks,,,,,,,,,
14,Andy,Kaufman,,,,,,,,,
15,Steven,Wright,,,,,,,,,
16,Billy,Connolly,,,,,,,,,
17,Bill,Burr,,,,,,,,,
18,Kevin,Hart,,,,,,,,,
19,Albert,Brooks,,,,,,,,,
20,Mitch,Hedberg,,,,,,,,,
21,Bob,Newhart,,,,,,,,,
22,Jonathan,Winters,,,,,,,,,
23,Don,Rickles,,,,,,,,,
24,Eddie,Izzard,,,,,,,,,
25,Eddie,Murphy,,,,,,,,,
26,Rodney,Dangerfield,,,,,,,,,
27,Redd,Foxx,,,,,,,,,
28,Robert,Klein,,,,,,,,,
29,Dick,Gregory,,,,,,,,,
30,Woody,Allen,,,,,,,,,
31,Sarah,Silverman,Female,,White,1,https://www.youtube.com/watch?v=ci5p1OdVLAc&t=503s,Sarah Silverman: A new perspective on the number 3000,,,
31,Sarah,Silverman,Female,,White,1,,,,,
31,Sarah,Silverman,Female,,White,1,,,,,
31,Sarah,Silverman,Female,,White,1,,,,,
32,Patrice,O'Neal,,,,,,,,,
33,Janeane,Garofalo,Female,,White,1,https://www.youtube.com/watch?v=9qr6BUNYQJE,Stand Up Janeane Garofalo Comedy Half Hour 1995,,,
33,Janeane,Garofalo,Female,,White,1,https://www.youtube.com/watch?v=2J-45318Pd8,Janeane Garofalo HBO Comedy Hour 1997,,,
33,Janeane,Garofalo,Female,,White,1,https://www.youtube.com/watch?v=4eIdxtVwILI,Short Janeane Garofalo performance live.,,,
34,Patton,Oswalt,,,,,,,,,
35,Tig,Notaro,,,,,,,,,
36,Daniel,Kitson,,,,,,,,,
37,Sam,Kinison,,,,,,,,,
38,Roseanne,Barr,Female,,White,1,https://www.youtube.com/watch?v=_ZShj7Mk7TI,"Roseanne Barr/Sept. 19, 1987",,,
38,Roseanne,Barr,Female,,White,1,https://www.youtube.com/watch?v=R_ABXmzh6RE,Roseanne & Tom Arnold's Stand-up Comedy (1991) - MDA Telethon,,,
39,Moms,Mabley,Female,,Black,1,https://www.youtube.com/watch?v=625pAnzD3JQ,"COMEDY: MOMS MABLEY ""I GOT SOMETHIN' TO TELL YOU""",,,
39,Moms,Mabley,Female,,Black,1,https://www.youtube.com/watch?v=qOb7qHcGCp4,Moms Mabley - I Like 'Em Young,,,
39,Moms,Mabley,Female,,Black,1,https://www.youtube.com/watch?v=XHqMuZZ51Tc,Moms Mabley - The Youngest Teenager - Complete Album - Improved Audio,,,
39,Moms,Mabley,Female,,Black,1,https://www.youtube.com/watch?v=WnBRd1M_hOU,Moms Mabley - Full 1966 LP - At The White House Conference,,,
40,Garry,Shandling,,,,,,,,,
41,Bernie,Mac,,,,,,,,,
42,Phyllis,Diller,Female,,White,1,https://www.youtube.com/watch?v=6bEmu466Zk4,Standup Comedy on Location Phyllis Diller 1977,,,
42,Phyllis,Diller,Female,,White,1,https://www.youtube.com/watch?v=6CvHBZg89XM,"Phyllis Diller ""Are You Ready For Phyllis Diller?"" 1962 FULL ALBUM",,,
42,Phyllis,Diller,Female,,White,1,https://www.youtube.com/watch?v=-q-LIgqeHZQ,Phyllis Diller - Laughs (1961),,,
42,Phyllis,Diller,Female,,White,1,https://www.youtube.com/watch?v=t6KagREp-ok,Phyllis Diller,,,
43,Amy,Schumer,Female,,White,1,https://www.youtube.com/watch?v=WggRodqiaGU,Amy Schumer - STAND UP Live at Apollo 2019,,,
43,Amy,Schumer,Female,,White,1,https://www.youtube.com/watch?v=e-opFQ7g4aQ,Amy Schumer Show - Best Stand up Comedy Ever (Comedy Special Full Show),,,
43,Amy,Schumer,Female,,White,1,https://www.youtube.com/watch?v=R8YyAHjKPvU,Amy Schumer - Stand up Comedy Show 3,,,
44,Russell,Peters,,,,,,,,,
45,Freddie,Prinze,,,,,,,,,
46,Reggie,Watts,,,,,,,,,
47,Elayne,Boosler,Female,,White,1,https://www.youtube.com/watch?v=Fmjm7KUFjiY,Elayne Boosler - Stand-Up Comedy (1992) - MDA Telethon,,,
47,Elayne,Boosler,Female,,White,1,https://www.youtube.com/watch?v=xzXRCEFAqNg,Elayne Boosler Freddie Prinze & Friends,,,
47,Elayne,Boosler,Female,,White,1,https://www.youtube.com/watch?v=u1D-OhUCWYo,"Party of One: ""Whore of Babylon""",,,
48,Margaret,Cho,Female,,Asian,1,https://www.youtube.com/watch?v=2EkMNnNnYFI,Margaret Cho - Notorious C.H.O,,,
48,Margaret,Cho,Female,,Asian,1,https://www.youtube.com/watch?v=7Nv6WgMZBKY,ASSASSIN! TOUR!,,,
48,Margaret,Cho,Female,,Asian,1,https://www.youtube.com/watch?v=2-KobYK1cPk,Show Margaret Cho- PsyCHO Best Comedy,,,
49,Aziz,Ansari,,,,,,,,,
50,Wanda,Sykes,Female,,Black,1,https://www.youtube.com/watch?v=NNEUlfjffSA,Wanda Sykes Stand up - Full Show Best Comedy Ever - What Happened Ms Sykes,,,
50,Wanda,Sykes,Female,,Black,1,https://www.youtube.com/watch?v=BktBaXXv-iw,Wanda Sykes - Sick & Tired (Legendado),,,
,Hollywood Stands Up,,,,,0,https://www.youtube.com/watch?v=h9Z9L6scshg,HOLLYWOOD STANDS UP: An Evening with Adam Harrington 3-30-12,,,
,Hollywood Stands Up,,,,,0,https://www.youtube.com/watch?v=j-hDHC2RWn8,HOLLYWOOD STANDS UP: An Evening with Mary Mack 4-27-12,,,
,Hollywood Stands Up,,,,,0,https://www.youtube.com/watch?v=zrCyGm4VmYE,HOLLYWOOD STANDS UP: An Evening with Stu Smith 4-13-12,,,
,Hollywood Stands Up,,,,,0,https://www.youtube.com/watch?v=A2gDAbjoT28,HOLLYWOOD STANDS UP: An Evening with Michelle Biloon 3-16-12,,,
,Hollywood Stands Up,,,,,0,https://www.youtube.com/watch?v=i_2QnmM9JK8,HOLLYWOOD STANDS UP: An Evening with Steve Benaquist 3-2-12,,,
,Jackie,Fabulous,,,,0,https://www.youtube.com/watch?v=-GwjX8bly04,Jackie Fabulous 40 Min Valentine's Day Show Headlining Ice House Feb 2014,,,
,Jackie,Fabulous,,,,0,https://www.youtube.com/watch?v=rFVt90G4QOc,"Clean 20 Jackie Fabulous December 13, 2018",,,
,Peter,Sullivan,,,,0,https://www.youtube.com/watch?v=RXzxaSzqNGA,Peter Sullivan - The Sweaty Pits Special,,,
,Peter,Sullivan,,,,0,https://www.youtube.com/watch?v=pNMkqyOamd0,Peter Sullivan at Shark Comedy Showcase 10/1/16,,,
,Jess,Feeny,,,,0,https://www.youtube.com/watch?v=FZNS_ADsp6k,Jess Feeney 5/4/17 Bier Baron,,,
,Jess,Feeny,,,,0,https://www.youtube.com/watch?v=brY1ojllaLE&t=133s,DC Improv Open Mic,,,
,Jess,Feeny,,,,0,https://www.youtube.com/watch?v=Ku1UuLjxIlc,Jess Feeney Barenaked Comedy Set,,,
,Jess,Feeny,,,,0,https://www.youtube.com/watch?v=YeTbBz-lqwE,RFD Set,,,
,Ty,Davis,,,,0,https://www.youtube.com/watch?v=4ZPabrfsflw&t=2s,Ty Davis DC Improv 7-31-19,,,
,Ty,Davis,,,,0,https://www.youtube.com/watch?v=I2gjKn5FzRo,Ty Davis Baltimore Comedy Factory 1-27-18,,,
,Ali,Cherry,,,,0,https://www.youtube.com/watch?v=gL8uxGIymYo,Ali Cherry Comedy - DC Improv 11.13.18,,,
,Ali,Cherry,,,,0,https://www.youtube.com/watch?v=46Aw4BaLBU8,Ali Cherry Comedy - DC Improv 8.21.19,,,
,Darwin,Dixon,,,,0,https://www.youtube.com/watch?v=aI9eCEO9xtE,Darwin Live @ DC Improv,,,
,Umar,Khan,,,,0,https://www.youtube.com/watch?v=p-X9mq4pI3A,Umar Khan at The DC Improv 8.24.16,,,
,Umar,Khan,,,,0,https://www.youtube.com/watch?v=P8Z21vQFVG4,Umar Khan: Live in Baltimore,,,
,Keith,Correy,,,,0,https://www.youtube.com/watch?v=wbysFHpxNWk,Keith Correy @ DC Improv 2019,,,
,Natalie,McGill,,,,0,https://www.youtube.com/watch?v=qi5geG7raUE,Natalie McGill - DC Improv 2-21-18 Open Mic,,,
,Natalie,McGill,,,,0,https://www.youtube.com/watch?v=qXlG6tITzms,Natalie McGill - Underground Comedy DC’s Best Showcase - 2-14-20,,,
,Colin,McIntyre,,,,0,https://www.youtube.com/watch?v=Io81nw8mbVA,Colin S. McIntyre Standup DC Improv - 12/18/2019,,,
,Quentin,Hardy,,,,0,https://www.youtube.com/watch?v=CQltHbnR1LQ,DC Improv Open Mic,,,
,Quentin,Hardy,,,,0,https://www.youtube.com/watch?v=XPmX5kMjWnc,Northwest Black Comedy Festival (Harvey Comedy Club),,,
,Quentin,Hardy,,,,0,https://www.youtube.com/watch?v=_SuiOpJfGs0,1st show since the quarantine,,,
,Jason,Weems,,,,0,https://www.youtube.com/watch?v=xEFkyNobRvc,Jason Weems Comedy- DC Improv,,,
,Jason,Weems,,,,0,https://www.youtube.com/watch?v=QeHr5Oxhe6E,Jason Weems: Lower Flat Tuesdays UMBC,,,
,Ken,Dieffenbach,,,,0,https://www.youtube.com/watch?v=6hGjsCKosFw,Ken Dieffenbach DC Improv Feb 6 2019,,,
,Elizabeth,Norman,,,,0,https://www.youtube.com/watch?v=27B60hhRLyw,Elizabeth Norman at the DC Improv Open Mic 1/8/2020,,,
,Elizabeth,Norman,,,,0,https://www.youtube.com/watch?v=NwG4n7qexmY,Elizabeth Danger Norman opening for Michael Ian Black at the Ottobar 10/24,,,
,Elizabeth,Norman,,,,0,https://www.youtube.com/watch?v=voh53NMI7VI,Elizabeth Danger Norman Chattanooga Set 5/25,,,
,Trauvello,Stevenson,,,,0,https://www.youtube.com/watch?v=jFZiehgivco,Trauvello Stevenson @ DC Improv Comedy Club,,,
,Andy,Haynes,,,,0,https://www.youtube.com/watch?v=DEkWicek7Kk,Andy at the DC Improv - Part 1,,,
,Andy,Haynes,,,,0,https://www.youtube.com/watch?v=URbNuCiaDxA,White People & Cops,,,
,Andy,Haynes,,,,0,https://www.youtube.com/watch?v=wVCg2gzxqME,Newer Andy Haynes at the DC Improv Part 1,,,
,Brandon,Stuckey,,,,0,https://www.youtube.com/watch?v=GeWkQ10DK60,Comedian BStuc @ DC Improv,,,
,Michael,Furr,,,,0,https://www.youtube.com/watch?v=6Mh0s6nd_Jw,Michael Furr at the DC Improv March 2019,,,
,Michael,Furr,,,,0,https://www.youtube.com/watch?v=jeFJq-E4W2w,Michael Furr standup comedy at Artscape 2017!,,,
,Michael,Furr,,,,0,https://www.youtube.com/watch?v=GNMAb96BNRc,"Michael Furr Comedy at Ryleigh's Oyster House Oct 27, 2016",,,
,Tara,Parker,,,,0,https://www.youtube.com/watch?v=Ym_zlFI0WEE,Stand Up Comedy: DC Improv Tara Parker May 2009,,,
,Alex,Barbag,,,,0,https://www.youtube.com/watch?v=uBeUapPpg4w,Alex Barbag stand up comedy at DC Improv,,,
,Alex,Barbag,,,,0,https://www.youtube.com/watch?v=DRQEx9ZWpaY,Alex Barbag | Stand-up comedy at Big Hunt | Feb 2020,,,
,Martin,Amini,,,,0,https://www.youtube.com/watch?v=Qbpr9eohXOw,Martin Amini - Performing at the DC Improv (2017),,,
,Martin,Amini,,,,0,https://www.youtube.com/watch?v=olbGYiU3ewM,Martin Amini - Son of An Ice Cream Man (Stand Up Comedy Special),,,
,Jim,Elliott,,,,0,https://www.youtube.com/watch?v=w96QWHyk4Fk,Jim Elliott - DC Improv,,,
,Jim,Elliott,,,,0,https://www.youtube.com/watch?v=LuLIYG32k6Y,Jim Elliott @ The Laughter Lounge,,,
,Jared,Stern,,,,0,https://www.youtube.com/watch?v=vDhzo48dHKE,Jared Stern Live at the Silhouette Stages 2018 Fall Cabaret,,,
,Andre,Gatling,,,,0,https://www.youtube.com/watch?v=m25NnmEVhRM,DC Comic Andre Gatling at The DC Improv,,,
